ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Dew Point,Dew Point_lower,Dew Point_upper,Humidity,Humidity_lower,Humidity_upper,Precip,Precip_lower,Precip_upper,Pressure,Pressure_lower,Pressure_upper,Temperature,Temperature_lower,Temperature_upper,Wind Gust,Wind Gust_lower,Wind Gust_upper,Wind Speed,Wind Speed_lower,Wind Speed_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-12-12,1251.7541905553528,-106.28905315579694,1425.256116871571,1251.7541905553528,1251.7541905553528,10.030053732970435,10.030053732970435,10.030053732970435,-37.06672213210714,-37.06672213210714,-37.06672213210714,-6.794856720101156,-6.794856720101156,-6.794856720101156,-7.357864530697992,-7.357864530697992,-7.357864530697992,-193.2314336618592,-193.2314336618592,-193.2314336618592,14.475583242960758,14.475583242960758,14.475583242960758,-24.10626603328367,-24.10626603328367,-24.10626603328367,-596.3639184826028,-596.3639184826028,-596.3639184826028,3.0743763090868015e-10,3.0743763090868015e-10,3.0743763090868015e-10,-244.05150610211797,-244.05150610211797,-244.05150610211797,-10.79921277652008,-10.79921277652008,-10.79921277652008,-341.5131996042723,-341.5131996042723,-341.5131996042723,0.0,0.0,0.0,655.39027207275
2022-12-13,1251.6987731618924,-96.66956516202536,1423.799911356483,1251.6987731618924,1251.6987731618924,13.608640561333766,13.608640561333766,13.608640561333766,-43.78407520442898,-43.78407520442898,-43.78407520442898,1.6384649898539632,1.6384649898539632,1.6384649898539632,4.689400361778681,4.689400361778681,4.689400361778681,-221.74444731709755,-221.74444731709755,-221.74444731709755,-3.1167885182440553,-3.1167885182440553,-3.1167885182440553,6.546577725713679,6.546577725713679,6.546577725713679,-580.2339058434881,-580.2339058434881,-580.2339058434881,-3.496703963416318e-09,-3.496703963416318e-09,-3.496703963416318e-09,-242.16222740109052,-242.16222740109052,-242.16222740109052,-0.048202986189442486,-0.048202986189442486,-0.048202986189442486,-338.02347545271135,-338.02347545271135,-338.02347545271135,0.0,0.0,0.0,671.4648673184043
2022-12-14,1251.643355768432,-51.051649117647706,1467.078455517384,1251.643355768432,1251.643355768432,34.3644441658411,34.3644441658411,34.3644441658411,-40.75576029477569,-40.75576029477569,-40.75576029477569,1.6384649898539632,1.6384649898539632,1.6384649898539632,17.24315687135648,17.24315687135648,17.24315687135648,-241.09256372600933,-241.09256372600933,-241.09256372600933,-13.040690537385233,-13.040690537385233,-13.040690537385233,31.266613015227673,31.266613015227673,31.266613015227673,-540.732342142892,-540.732342142892,-540.732342142892,1.9844795436559557e-09,1.9844795436559557e-09,1.9844795436559557e-09,-210.37633551589104,-210.37633551589104,-210.37633551589104,3.9991111779328707,3.9991111779328707,3.9991111779328707,-334.35511780691826,-334.35511780691826,-334.35511780691826,0.0,0.0,0.0,710.91101362554
2022-12-15,1251.5879383749718,-40.07324410558132,1481.6434963096997,1251.5879383749718,1251.5879383749718,41.04447291211931,41.04447291211931,41.04447291211931,-33.32262369835398,-33.32262369835398,-33.32262369835398,1.6384649898539632,1.6384649898539632,1.6384649898539632,17.098444980756188,17.098444980756188,17.098444980756188,-231.58822584092988,-231.58822584092988,-231.58822584092988,-13.040690537385233,-13.040690537385233,-13.040690537385233,29.78341089785683,29.78341089785683,29.78341089785683,-530.0587159647819,-530.0587159647819,-530.0587159647819,2.4768098683125572e-09,2.4768098683125572e-09,2.4768098683125572e-09,-188.3867462960828,-188.3867462960828,-188.3867462960828,-11.074728886865785,-11.074728886865785,-11.074728886865785,-330.59724078431015,-330.59724078431015,-330.59724078431015,0.0,0.0,0.0,721.52922241019
2022-12-16,1251.5325209815117,19.996159982227073,1543.4773511985213,1251.5325209815117,1251.5325209815117,59.41455196438443,59.41455196438443,59.41455196438443,-20.989122975402392,-20.989122975402392,-20.989122975402392,1.6384649898539632,1.6384649898539632,1.6384649898539632,16.628131336305124,16.628131336305124,16.628131336305124,-212.9189907095238,-212.9189907095238,-212.9189907095238,-13.040690537385233,-13.040690537385233,-13.040690537385233,27.31140736890543,27.31140736890543,27.31140736890543,-466.17730679222564,-466.17730679222564,-466.17730679222564,-4.132601816309034e-09,-4.132601816309034e-09,-4.132601816309034e-09,-141.95624856286247,-141.95624856286247,-141.95624856286247,2.612913992563005,2.612913992563005,2.612913992563005,-326.8339722177934,-326.8339722177934,-326.8339722177934,0.0,0.0,0.0,785.355214189286
2022-12-17,1251.4771035880515,105.01558655385845,1635.9165780759552,1251.4771035880515,1251.4771035880515,118.58052085999152,118.58052085999152,118.58052085999152,0.3192019343398573,0.3192019343398573,0.3192019343398573,1.6384649898539632,1.6384649898539632,1.6384649898539632,12.178240700345285,12.178240700345285,12.178240700345285,-217.3317190133107,-217.3317190133107,-217.3317190133107,-13.040690537385233,-13.040690537385233,-13.040690537385233,32.749815132598506,32.749815132598506,32.749815132598506,-381.7041978948428,-381.7041978948428,-381.7041978948428,-1.5039821240255455e-10,-1.5039821240255455e-10,-1.5039821240255455e-10,-64.90616593356678,-64.90616593356678,-64.90616593356678,6.344581231664505,6.344581231664505,6.344581231664505,-323.1426131927902,-323.1426131927902,-323.1426131927902,0.0,0.0,0.0,869.7729056932085
2022-12-18,1251.421686194591,63.26152831302483,1597.7450569453003,1251.421686194591,1251.421686194591,65.85600825543843,65.85600825543843,65.85600825543843,-9.426466047635278,-9.426466047635278,-9.426466047635278,1.6384649898539632,1.6384649898539632,1.6384649898539632,4.906468197679131,4.906468197679131,4.906468197679131,-192.21311174560068,-192.21311174560068,-192.21311174560068,-13.040690537385233,-13.040690537385233,-13.040690537385233,32.749815132598506,32.749815132598506,32.749815132598506,-420.15596859139197,-420.15596859139197,-420.15596859139197,2.0029536547857183e-09,2.0029536547857183e-09,2.0029536547857183e-09,-109.52951175505116,-109.52951175505116,-109.52951175505116,8.965538247413473,8.965538247413473,8.965538247413473,-319.5919950857572,-319.5919950857572,-319.5919950857572,0.0,0.0,0.0,831.265717603199
2022-12-19,1251.3662688011307,21.14567222403025,1556.1195344048217,1251.3662688011307,1251.3662688011307,36.51159626285909,36.51159626285909,36.51159626285909,-27.486234963385815,-27.486234963385815,-27.486234963385815,1.6384649898539632,1.6384649898539632,1.6384649898539632,23.248700331269745,23.248700331269745,23.248700331269745,-204.77241537945568,-204.77241537945568,-204.77241537945568,-13.040690537385233,-13.040690537385233,-13.040690537385233,39.177024307872145,39.177024307872145,39.177024307872145,-471.7638417195025,-471.7638417195025,-471.7638417195025,-1.9999314796829517e-09,-1.9999314796829517e-09,-1.9999314796829517e-09,-144.72355498837177,-144.72355498837177,-144.72355498837177,-10.799212776517429,-10.799212776517429,-10.799212776517429,-316.2410739526134,-316.2410739526134,-316.2410739526134,0.0,0.0,0.0,779.6024270816282
2022-12-20,1251.3108514076703,58.2292797852065,1589.2237402108965,1251.3108514076703,1251.3108514076703,41.760190277791985,41.760190277791985,41.760190277791985,-21.429605144079233,-21.429605144079233,-21.429605144079233,1.6384649898539632,1.6384649898539632,1.6384649898539632,24.91288707317346,24.91288707317346,24.91288707317346,-191.53423046809505,-191.53423046809505,-191.53423046809505,-13.040690537385233,-13.040690537385233,-13.040690537385233,34.23301724996935,34.23301724996935,34.23301724996935,-436.645965371112,-436.645965371112,-436.645965371112,-2.429961417268108e-09,-2.429961417268108e-09,-2.429961417268108e-09,-123.45996655877072,-123.45996655877072,-123.45996655877072,-0.04820298619293206,-0.04820298619293206,-0.04820298619293206,-313.13779582371836,-313.13779582371836,-313.13779582371836,0.0,0.0,0.0,814.6648860365584
2022-12-21,1251.25543401421,66.34461747507753,1591.5641956165819,1251.25543401421,1251.25543401421,43.19162500913731,43.19162500913731,43.19162500913731,-21.870087312756073,-21.870087312756073,-21.870087312756073,1.6384649898539632,1.6384649898539632,1.6384649898539632,14.6745208132008,14.6745208132008,14.6745208132008,-193.91031493936487,-193.91031493936487,-193.91031493936487,-13.040690537385233,-13.040690537385233,-13.040690537385233,47.08743560051662,47.08743560051662,47.08743560051662,-428.5481944969062,-428.5481944969062,-428.5481944969062,1.9845363870748165e-09,1.9845363870748165e-09,1.9845363870748165e-09,-122.22904637679748,-122.22904637679748,-122.22904637679748,3.9991111779267072,3.9991111779267072,3.9991111779267072,-310.31825930002,-310.31825930002,-310.31825930002,0.0,0.0,0.0,822.707239517304
